iter	Passed	Remaining
0	4	453
1	8	424
2	12	410
3	16	394
4	19	378
5	22	353
6	25	333
7	27	315
8	29	300
9	31	284
10	33	271
11	35	263
12	38	257
13	40	251
14	43	245
15	45	240
16	48	235
17	50	230
18	53	226
19	55	222
20	57	217
21	60	213
22	63	210
23	65	207
24	67	203
25	70	199
26	73	197
27	75	195
28	78	192
29	81	189
30	83	185
31	85	182
32	88	179
33	90	176
34	93	172
35	95	169
36	97	166
37	101	165
38	103	161
39	106	159
40	108	156
41	111	153
42	113	149
43	119	151
44	120	147
45	122	143
46	124	139
47	125	136
48	127	132
49	128	128
50	131	126
51	133	123
52	135	119
53	137	116
54	139	113
55	140	110
56	142	107
57	143	104
58	145	101
59	147	98
60	148	95
61	150	92
62	151	89
63	153	86
64	155	83
65	156	80
66	158	77
67	159	75
68	161	72
69	163	69
70	164	67
71	166	64
72	167	62
73	169	59
74	171	57
75	172	54
76	174	52
77	176	49
78	178	47
79	180	45
80	182	42
81	183	40
82	185	37
83	186	35
84	188	33
85	190	30
86	191	28
87	193	26
88	194	24
89	196	21
90	198	19
91	199	17
92	201	15
93	203	12
94	205	10
95	206	8
96	208	6
97	210	4
98	211	2
99	213	0
